,Site,Quadrant,Site_ID,n_s,duneheight,transect.length..m.,dist.to.dune..m.,dist.to.strand..m.,specific_conductance,soil.moisture.pct,pct.OM,prop.OM,soil.moisture.prop,shannon_diversity,pct_cover
1,1,1,101,S,1.1,102,0,-0.868850373,-0.195254102,-0.32745484,-0.326142112,0.000985222,0.032755299,0.162398859,10
2,1,2,102,S,1.1,102,11.333,-0.544194549,-0.093565438,0.380701101,0.2635199,0.025842697,0.084269663,0.199915308,3
3,1,3,103,S,1.1,102,22.666,-0.219538725,2.984332645,1.964434309,-0.266859193,0.003484321,0.199477352,0.281504555,14
4,1,4,104,S,1.1,102,33.999,0.105117099,6.35242426,2.905041453,-0.173796833,0.007407407,0.267901235,0.308072265,13
5,1,5,105,S,1.1,102,45.333,0.42980157,2.962846138,2.654319449,-0.029382115,0.013495277,0.249662618,0.33169732,7
6,1,6,106,S,1.1,102,56.666,0.754457394,1.371684662,-0.395061982,-0.273319308,0.003211991,0.027837259,0.35297473,43
7,1,7,107,S,1.1,102,67.999,1.079113217,-0.428710142,-0.750700329,-0.293233979,0.002372479,0.001966568,0.41802313,8
8,1,8,108,S,1.1,102,79.333,1.403797688,1.829988587,2.641687552,-0.14090519,0.00879397,0.248743719,0.389999923,100
9,1,9,109,S,1.1,102,90.666,1.728453512,0.012156014,0.507829434,-0.273805652,0.003191489,0.093517535,0.45048055,42
10,1,10,110,S,1.1,102,102,2.053137983,-0.292433744,-0.544272714,-0.254245319,0.004016064,0.016983017,0.46480825,65
11,2,1,201,S,1.4,128,0,-1.708205852,0.077260641,-0.589237975,-0.210110414,0.005876592,0.013712047,0.146562669,8
12,2,2,202,S,1.4,128,14.222,-1.300789005,-0.211006654,-0.138995636,-0.349513263,0,0.046464646,0.109222462,0
13,2,3,203,S,1.4,128,28.444,-0.893372158,0.072551709,0.140660513,-0.324304211,0.001062699,0.066808059,0.15925796,2
14,2,4,204,S,1.4,128,42.666,-0.485955311,-0.072489814,0.218408221,1.492235033,0.077639752,0.072463768,0.177318083,1
15,2,5,205,S,1.4,128,56.888,-0.078538464,-0.486525568,1.978553087,-0.170029898,0.007566204,0.200504414,0.193918787,2
16,2,6,206,S,1.4,128,71.111,0.328907031,0.76096992,2.53075346,-0.263978222,0.003605769,0.240673887,0.209338763,1
17,2,7,207,S,1.4,128,85.333,0.736323878,-0.393333593,-0.162819279,-0.278419203,0.002997003,0.04473161,0.223766222,35
18,2,8,208,S,1.4,128,99.555,1.143740725,-0.380731014,-0.263446759,-0.181614349,0.007077856,0.037411527,0.265310513,25
19,2,9,209,S,1.4,128,113.777,1.551157572,0.879415089,0.014260498,-0.319971896,0.00124533,0.057613169,0.305336909,100
20,2,10,210,S,1.4,128,128,1.958603066,-0.036744312,-0.074411343,-0.239179691,0.004651163,0.051162791,0.262307526,30
21,3,1,301,S,0.6,101,0,-0.845932817,-0.344946026,-0.736369892,-0.325624322,0.001007049,0.003009027,0.098957564,20
22,3,2,302,S,0.6,101,11.222,-0.524456804,-0.413758417,-0.131711374,-0.219886388,0.005464481,0.046994536,0.094173186,0
23,3,3,303,S,0.6,101,22.444,-0.202980791,-0.345335006,-0.019291991,-0.21318155,0.005747126,0.055172414,0.130595801,30
24,3,4,304,S,0.6,101,33.666,0.118495222,-0.392568276,-0.095173879,-0.32567234,0.001005025,0.049652433,0.186280134,14
25,3,5,305,S,0.6,101,44.888,0.439971235,-0.324387853,-0.198213733,-0.326233854,0.000981354,0.042156863,0.177848454,45
26,3,6,306,S,0.6,101,56.111,0.761475895,-0.236272461,0.113395111,-0.324250517,0.001064963,0.064824655,0.18961649,10
27,3,7,307,S,0.6,101,67.333,1.082951908,-0.329325527,1.101603785,7.247786494,0.320267686,0.136711281,0.241660854,102
28,3,8,308,S,0.6,101,78.555,1.404427921,3.208662449,2.457785166,-0.095654211,0.010701546,0.235365854,0.231687874,43
29,3,9,309,S,0.6,101,89.777,1.725903934,-0.270778819,1.305626612,-0.202173399,0.00621118,0.151552795,0.221388197,80
30,3,10,310,S,0.6,101,101,2.047408594,-0.362478482,-0.265002063,-0.253861174,0.004032258,0.037298387,0.231027952,35
31,4,1,401,S,1,72,0,-0.487846009,-0.034665414,-0.196300049,-0.277846441,0.003021148,0.042296073,0.123437137,37
32,4,2,402,S,1,72,8,-0.258670452,-0.332373843,-0.186623322,-0.325815243,0.000999001,0.043,0.102944468,20
33,4,3,403,S,1,72,16,-0.029494894,0.888493922,-0.271634421,-0.295661463,0.002270148,0.03681592,0.230650378,19
34,4,4,404,S,1,72,24,0.199680663,-0.425423455,-0.274453082,-0.324033437,0.001074114,0.036610879,0.125960993,40
35,4,5,405,S,1,72,32,0.42885622,1.376654123,3.613593927,-0.239690494,0.00462963,0.319444444,0.152880863,90
36,4,6,406,S,1,72,40,0.658031778,0.370542573,2.596014289,-0.029735201,0.013480392,0.245421245,0.162574454,60
37,4,7,407,S,1,72,48,0.887207335,0.096945374,0.872467063,-0.247921323,0.004282655,0.120042872,0.155404297,30
38,4,8,408,S,1,72,56,1.116382893,-0.382280733,-0.417072397,-0.276298084,0.00308642,0.026236125,0.164300964,25
39,4,9,409,S,1,72,64,1.34555845,-0.410584083,-0.498612121,-0.204574049,0.00610998,0.020304569,0.205195763,23
40,4,10,410,S,1,72,72,1.574734007,-0.345329863,-0.533467949,-0.255565865,0.003960396,0.017769003,0.197172999,55
41,5,1,501,S,1,88,0,-0.688374622,-0.311177744,-0.276550087,5.803307356,0.259375,0.036458333,0.083696317,35
42,5,2,502,S,1,88,9.777,-0.408293444,-0.385026898,-0.45900885,-0.299467444,0.002109705,0.023185484,0.108833888,95
43,5,3,503,S,1,88,19.555,-0.128183619,-0.311926694,0.590926283,-0.240698043,0.004587156,0.099562363,0.11883358,23
44,5,4,504,S,1,88,29.333,0.151926206,3.125164298,2.121744319,-0.120931397,0.009635974,0.210920771,0.128107083,14
45,5,5,505,S,1,88,39.111,0.432036031,-0.107838968,-0.76459206,-0.239817457,0.004624277,0.000956023,0.123051754,10
46,5,6,506,S,1,88,48.888,0.712117209,-0.087091912,2.377855932,-0.005266695,0.014511873,0.229551451,0.49440703,100
47,5,7,507,S,1,88,58.666,0.992227034,-0.417004376,1.216774259,-0.26864377,0.003409091,0.145089286,0.139360274,7
48,5,8,508,S,1,88,68.444,1.272336859,-0.389105989,-0.587749357,-0.25584409,0.003948667,0.013820336,0.174149514,28
49,5,9,509,S,1,88,78.222,1.552446684,-0.426722488,-0.500581733,-0.325551932,0.001010101,0.02016129,0.167896832,60
50,5,10,510,S,1,88,87.999,1.832527862,-0.273221138,-0.764503518,-0.211729809,0.005808325,0.000962464,0.188371832,62
51,6,1,601,N,2,62,0,-0.8029624,-0.205525329,-0.388421559,-0.280016042,0.002929687,0.028320312,0.079624323,80
52,6,2,602,N,2,62,6.888,-0.605642245,-0.321162285,-0.336829973,-0.267995331,0.003436426,0.03207331,0.101222751,95
53,6,3,603,N,2,62,13.777,-0.408293444,-0.360407936,-0.683819568,-0.349513263,0,0.006831768,0.109893196,105
54,6,4,604,N,2,62,20.666,-0.210944642,-0.361806763,-0.460288872,-0.277846441,0.003021148,0.023092369,0.117963603,110
55,6,5,605,N,2,62,27.555,-0.01359584,-0.412560606,-0.516719729,-0.099284169,0.010548523,0.018987342,0.137376737,95
56,6,6,606,N,2,62,34.444,0.183752962,-0.292743318,-0.618197342,0.250452369,0.025291829,0.011605416,0.156299602,80
57,6,7,607,N,2,62,41.333,0.381101764,-0.427379209,-0.344214688,-0.228607462,0.00509684,0.031536114,0.12803172,85
58,6,8,608,N,2,62,48.222,0.578450566,-0.443030387,-0.737063378,-0.231962628,0.004955401,0.00295858,0.134751306,95
59,6,9,609,N,2,62,55.111,0.775799367,-0.402999011,-0.636280185,-0.194179281,0.006548176,0.010289991,0.141235005,5
60,6,10,610,N,2,62,61.999,0.973119522,-0.349821137,-0.410566374,0.943016246,0.054487179,0.026709402,0.159122377,29
61,7,1,701,N,0.3,88,0,-1.355848432,1.183127245,-0.526832685,-0.281150963,0.002881844,0.018251681,0.076632012,1
62,7,2,702,N,0.3,88,9.777,-1.075767254,-0.369660575,-0.327942331,-0.300552029,0.002063983,0.032719836,0.074592381,0
63,7,3,703,N,0.3,88,19.555,-0.795657429,-0.264353103,-0.308260933,-0.24824659,0.004268943,0.034151547,0.092825395,26
64,7,4,704,N,0.3,88,29.333,-0.515547604,-0.3894443,-0.359475667,0.646613569,0.041992188,0.030425963,0.100023028,15
65,7,5,705,N,0.3,88,39.111,-0.235437779,-0.388067381,-0.655238345,1.444367903,0.075621891,0.008910891,0.106834455,15
66,7,6,706,N,0.3,88,48.888,0.044643399,-0.445464155,-0.515335771,-0.274046504,0.003181336,0.019088017,0.102951364,0
67,7,7,707,N,0.3,88,58.666,0.324753224,-0.385337715,-0.402443387,-0.301687219,0.002016129,0.027300303,0.119571645,1
68,7,8,708,N,0.3,88,68.444,0.604863049,-0.409701794,-0.574179005,-0.067671068,0.011881188,0.014807502,0.146134971,35
69,7,9,709,N,0.3,88,78.222,0.884972873,-0.312563541,-0.724088366,-0.070707566,0.011753183,0.003902439,0.131393044,75
70,7,10,710,N,0.3,88,87.999,1.165054052,-0.375413909,-0.416681077,-0.187984054,0.006809339,0.026264591,0.147249383,60
71,8,1,801,N,0.5,80,0,-1.267042904,-0.174067231,-0.400741665,-0.302954444,0.001962709,0.027424094,0.074334452,28
72,8,2,802,N,0.5,80,8.888,-1.01242886,-0.369346676,-0.369414485,-0.207750008,0.005976096,0.02970297,0.081932917,30
73,8,3,803,N,0.5,80,17.777,-0.757786169,-0.412510999,1.073931472,-0.29833372,0.002157497,0.134698276,0.088856574,20
74,8,4,804,N,0.5,80,26.666,-0.503143477,-0.429885912,-0.384219974,-0.302539564,0.001980198,0.028625954,0.104639204,35
75,8,5,805,N,0.5,80,35.555,-0.248500786,-0.415108465,-0.487601523,-0.325624322,0.001007049,0.021105528,0.110754639,20
76,8,6,806,N,0.5,80,44.444,0.006141905,-0.438001908,-0.528548183,0.251036561,0.025316456,0.018126888,0.125829122,95
77,8,7,807,N,0.5,80,53.333,0.260784596,-0.401126313,-0.333421555,-0.162174917,0.007897335,0.032321254,0.140603123,45
78,8,8,808,N,0.5,80,62.222,0.515427287,-0.385764588,-0.707882828,-0.156653767,0.008130081,0.005081301,0.127639316,75
79,8,9,809,N,0.5,80,71.111,0.770069978,-0.43647513,-0.60607851,-0.201406803,0.006243496,0.012486993,0.132887699,75
80,8,10,810,N,0.5,80,79.999,1.024684023,-0.364027003,-0.723772492,-0.1619898,0.007905138,0.003925417,0.147107383,42
81,9,1,901,N,1.4,17,0,-1.570700517,-0.043401264,-0.401110543,0.974813798,0.05582762,0.02739726,0.080992991,85
82,9,2,902,N,1.4,17,1.888,-1.516615086,-0.362124699,-0.588123711,-0.278982882,0.002973241,0.013793103,0.09630063,41
83,9,3,903,N,1.4,17,3.777,-1.462501007,-0.312333407,-0.601319709,-0.326049645,0.00098912,0.012833169,0.09413002,97
84,9,4,904,N,1.4,17,5.666,-1.408386929,-0.429536181,-0.642564505,-0.022317152,0.013793103,0.009832842,0.100006535,97
85,9,5,905,N,1.4,17,7.555,-1.35427285,-0.352233093,-0.439809836,-0.279399811,0.002955665,0.024582104,0.113960262,172
86,9,6,906,N,1.4,17,9.444,-1.300158772,-0.325115801,-0.141432649,-0.166510617,0.007714561,0.046287367,0.110928054,185
87,9,7,907,N,1.4,17,11.333,-1.246044693,-0.33042234,-0.53819721,-0.211328498,0.005825243,0.017424976,0.124399511,61
88,9,8,908,N,1.4,17,13.222,-1.191930615,-0.447074635,-0.276839956,-0.301493591,0.002024291,0.036437247,0.112709603,10
89,9,9,909,N,1.4,17,15.111,-1.137816537,-0.28002061,-0.583139004,0.252560799,0.025380711,0.014155713,0.134139712,98
90,9,10,910,N,1.4,17,17,-1.083702458,-0.146653179,-0.064727719,0.733220756,0.045643154,0.05186722,0.138796916,62
91,10,1,1001,N,1.4,33,0,-1.418871711,-0.308215213,-0.656350032,-0.297147439,0.002207506,0.008830022,0.078769244,25
92,10,2,1002,N,1.4,33,3.666,-1.313852012,-0.435132831,-0.487201954,-0.270352913,0.003337041,0.021134594,0.08506078,37
93,10,3,1003,N,1.4,33,7.333,-1.208803665,-0.436880523,-0.417731668,-0.256759722,0.003910068,0.026188167,0.106180722,77
94,10,4,1004,N,1.4,33,1,-1.390224766,-0.381402157,-0.67369064,-0.304628271,0.001892148,0.00756859,0.103890102,70
95,10,5,1005,N,1.4,33,14.666,-0.99873562,-0.240238351,-0.686868028,-0.259144813,0.003809524,0.006610009,0.109009355,68
96,10,6,1006,N,1.4,33,18.333,-0.893687274,-0.251547877,-0.777734285,-0.082157834,0.011270492,0,0.106280221,47
97,10,7,1007,N,1.4,33,22,-0.788638928,-0.440798338,-0.667870016,-0.231494765,0.004975124,0.007992008,0.126244735,65
98,10,8,1008,N,1.4,33,25.666,-0.683619229,-0.411028582,-0.641086506,-0.231141416,0.00499002,0.009940358,0.123212882,40
99,10,9,1009,N,1.4,33,29.333,-0.578570883,-0.278714005,-0.738382854,-0.05050001,0.012605042,0.002862595,0.112468754,100
100,10,10,1010,N,1.4,33,33,-0.473522537,-0.346171042,-0.446313287,0.147797388,0.020964361,0.024109015,0.124395063,85
